body_cell,source_frame,weapon_cell,pose,offset_x,grip_x,grip_y,arm_pixels,weapon_pixels
520,77,669,2,0,19,6,45,86
520,77,670,3,0,19,6,45,93
520,77,671,4,0,28,20,24,0
520,77,672,5,0,22,22,21,2
520,77,673,6,0,20,20,12,63
520,77,674,7,9,19,20,24,71
520,77,675,8,0,21,20,14,63
521,78,676,0,0,-1,-1,-1,-1
521,78,677,1,0,25,17,25,89
521,78,678,2,0,19,6,45,89
521,78,679,3,0,19,6,45,96
521,78,680,4,0,28,20,26,0
521,78,681,5,0,21,22,21,2
521,78,682,6,0,20,20,14,67
521,78,683,7,9,19,20,26,73
521,78,684,8,0,21,20,19,67
522,79,685,0,0,-1,-1,-1,-1
522,79,686,1,0,25,17,43,89
522,79,687,2,0,19,6,54,89
522,79,688,3,0,19,6,54,96
522,79,689,4,0,28,20,44,0
522,79,690,5,0,8,22,19,1
522,79,691,6,0,20,20,30,66
522,79,692,7,9,19,20,44,71
522,79,693,8,0,21,20,32,66
523,80,694,0,0,-1,-1,-1,-1
523,80,695,1,0,25,17,40,89
523,80,696,2,0,19,6,51,89
523,80,697,3,0,19,6,51,96
523,80,698,4,0,28,20,45,0
523,80,699,5,0,8,21,19,2
523,80,700,6,0,20,20,29,67
523,80,701,7,9,19,20,45,72
523,80,702,8,0,21,20,31,67
524,81,703,0,0,-1,-1,-1,-1
524,81,704,1,0,25,17,40,88
524,81,705,2,0,19,6,53,88
524,81,706,3,0,19,6,53,95
524,81,707,4,0,28,20,45,0
524,81,708,5,0,8,21,19,2
524,81,709,6,0,20,20,29,65
524,81,710,7,9,19,20,45,73
524,81,711,8,0,21,20,31,65
525,82,712,0,0,-1,-1,-1,-1
525,82,713,1,0,25,17,40,88
525,82,714,2,0,19,6,51,88
525,82,715,3,0,19,6,51,95
525,82,716,4,0,28,20,45,0
525,82,717,5,0,8,21,19,2
525,82,718,6,0,20,20,29,66
525,82,719,7,9,19,20,45,73
525,82,720,8,0,21,20,31,66
526,83,721,0,0,-1,-1,-1,-1
526,83,722,1,0,25,17,42,88
526,83,723,2,0,19,6,52,88
526,83,724,3,0,19,6,52,95
526,83,725,4,0,28,20,47,0
526,83,726,5,0,7,21,19,2
526,83,727,6,0,20,20,31,66
526,83,728,7,9,19,20,45,73
526,83,729,8,0,21,20,33,66
527,84,730,0,0,-1,-1,-1,-1
527,84,731,1,0,25,17,40,88
527,84,732,2,0,19,6,51,88
527,84,733,3,0,19,6,51,95
527,84,734,4,0,28,20,45,0
527,84,735,5,0,8,21,19,2
527,84,736,6,0,20,20,29,66
527,84,737,7,9,19,20,45,73
527,84,738,8,0,21,20,31,66
528,85,739,0,0,-1,-1,-1,-1
528,85,740,1,0,25,17,40,88
528,85,741,2,0,19,6,51,88
528,85,742,3,0,19,6,51,95
528,85,743,4,0,28,20,45,0
528,85,744,5,0,8,21,19,2
528,85,745,6,0,20,20,29,66
528,85,746,7,9,19,20,45,73
528,85,747,8,0,21,20,31,66
529,86,748,0,0,-1,-1,-1,-1
529,86,749,1,0,25,17,40,88
529,86,750,2,0,19,6,51,88
529,86,751,3,0,19,6,51,95
529,86,752,4,0,28,20,45,0
529,86,753,5,0,8,21,19,2
529,86,754,6,0,20,20,29,66
529,86,755,7,9,19,20,45,73
529,86,756,8,0,21,20,31,66
