body_cell,source_frame,weapon_cell,pose,offset_x,grip_x,grip_y,arm_pixels,weapon_pixels
521,78,678,2,0,19,6,60,89
521,78,679,3,0,19,6,60,96
521,78,680,4,0,28,20,45,0
521,78,681,5,0,8,23,19,2
521,78,682,6,0,20,20,31,73
521,78,683,7,9,19,20,45,76
521,78,684,8,0,21,20,33,73
522,79,685,0,0,-1,-1,-1,-1
522,79,686,1,0,25,17,25,89
522,79,687,2,0,19,6,49,89
522,79,688,3,0,19,6,49,96
522,79,689,4,0,28,20,25,0
522,79,690,5,0,22,23,21,2
522,79,691,6,0,20,20,12,67
522,79,692,7,9,19,20,25,71
522,79,693,8,0,21,20,14,67
523,80,694,0,0,-1,-1,-1,-1
523,80,695,1,0,25,17,19,89
523,80,696,2,0,19,6,39,89
523,80,697,3,0,19,6,39,96
523,80,698,4,0,28,20,26,0
523,80,699,5,0,22,20,21,2
523,80,700,6,0,20,20,18,67
523,80,701,7,9,19,20,26,71
523,80,702,8,0,21,20,18,67
524,81,703,0,0,-1,-1,-1,-1
524,81,704,1,0,8.5,16.5,17,65
524,81,705,2,0,8.5,16.5,17,65
524,81,706,3,0,8.5,16.5,17,70
524,81,707,4,0,28,20,44,0
524,81,708,5,0,8,22,19,2
524,81,709,6,0,20,20,30,66
524,81,710,7,9,19,20,44,71
524,81,711,8,0,21,20,32,66
525,82,712,0,0,-1,-1,-1,-1
525,82,713,1,0,8.5,16.5,17,65
525,82,714,2,0,8.5,16.5,17,65
525,82,715,3,0,8.5,16.5,17,70
525,82,716,4,0,28,20,44,0
525,82,717,5,0,8,22,19,2
525,82,718,6,0,20,20,30,66
525,82,719,7,9,19,20,44,71
525,82,720,8,0,21,20,32,66
526,83,721,0,0,-1,-1,-1,-1
526,83,722,1,0,8.5,16.5,17,65
526,83,723,2,0,8.5,16.5,17,65
526,83,724,3,0,8.5,16.5,17,70
526,83,725,4,0,28,20,44,0
526,83,726,5,0,8,22,19,2
526,83,727,6,0,20,20,30,66
526,83,728,7,9,19,20,44,71
526,83,729,8,0,21,20,32,66
527,84,730,0,0,-1,-1,-1,-1
527,84,731,1,0,8.5,16.5,17,65
527,84,732,2,0,8.5,16.5,17,65
527,84,733,3,0,8.5,16.5,17,70
527,84,734,4,0,28,20,44,0
527,84,735,5,0,8,22,19,2
527,84,736,6,0,20,20,30,66
527,84,737,7,9,19,20,44,71
527,84,738,8,0,21,20,32,66
528,85,739,0,0,-1,-1,-1,-1
528,85,740,1,0,8.5,16.5,17,65
528,85,741,2,0,8.5,16.5,17,65
528,85,742,3,0,8.5,16.5,17,70
528,85,743,4,0,28,20,44,0
528,85,744,5,0,8,22,19,2
528,85,745,6,0,20,20,30,66
528,85,746,7,9,19,20,44,71
528,85,747,8,0,21,20,32,66
529,86,748,0,0,-1,-1,-1,-1
529,86,749,1,0,8.5,16.5,17,65
529,86,750,2,0,8.5,16.5,17,65
529,86,751,3,0,8.5,16.5,17,70
529,86,752,4,0,28,20,44,0
529,86,753,5,0,8,22,19,2
529,86,754,6,0,20,20,30,66
529,86,755,7,9,19,20,44,71
529,86,756,8,0,21,20,32,66
